,id,name,orbits,orbit dates
0,3781344,(2017 RV),"neo_name =(2017 RV) / distance=12932324.242960695 / date=2020-01-03, neo_name =(2017 RV) / distance=30699847.363214713 / date=2017-08-09","2020-01-03, 2017-08-09"
1,3376346,(2007 JH22),neo_name =(2007 JH22) / distance=32678672.023011543 / date=2020-01-10,2020-01-10
2,3986636,(2020 AD3),"neo_name =(2020 AD3) / distance=12893485.374675129 / date=2020-01-07, neo_name =(2020 AD3) / distance=8890714.06129611 / date=2019-01-11, neo_name =(2020 AD3) / distance=30126297.20791969 / date=2018-01-16, neo_name =(2020 AD3) / distance=51245026.57104738 / date=2017-01-22","2020-01-07, 2019-01-11, 2018-01-16, 2017-01-22"
3,2416591,416591 (2004 LC2),neo_name =416591 (2004 LC2) / distance=30662108.158951942 / date=2020-01-02,2020-01-02
4,2099942,99942 Apophis (2004 MN4),neo_name =99942 Apophis (2004 MN4) / distance=66975732.72904886 / date=2020-01-05,2020-01-05
5,3959221,(2019 YZ3),neo_name =(2019 YZ3) / distance=23222535.009903904 / date=2020-01-07,2020-01-07
6,3338136,(2006 PY17),neo_name =(2006 PY17) / distance=41723248.19671264 / date=2020-01-09,2020-01-09
7,2417871,417871 (2007 MB24),neo_name =417871 (2007 MB24) / distance=60772952.221056156 / date=2020-01-08,2020-01-08
8,3414251,(2008 LW16),"neo_name =(2008 LW16) / distance=16984671.826704316 / date=2020-01-04, neo_name =(2008 LW16) / distance=25973986.02363487 / date=2019-07-03","2020-01-04, 2019-07-03"
9,3623580,(2013 AS27),"neo_name =(2013 AS27) / distance=37725287.516999 / date=2020-01-03, neo_name =(2013 AS27) / distance=41439772.500087984 / date=2019-07-19","2020-01-03, 2019-07-19"
